Mission_Name,Launch_Date_Normalized,Launch_Year,Decade,Country_Group,Country,Agency,Launch_Vehicle,Rocket_Family,Launch_Site,Launch_Complex,Mission_Type,Orbit_Class,Satellite_Mass_kg,Mission_Outcome,Spacecraft_Status,Estimated_Cost_USD_M,Fuel_Type,Operational_Life_Years,Notes,Launch_ID,Data_Source,Dataset_Source
Anik A1,11/9/1972,1972,1970s,Other_Countries,Canada,CSA,Delta 1914,Delta,Cape Canaveral,,Communication,GEO,270,Success,Decommissioned,40,Solid,9,World's first domestic geostationary communications satellite in national service,,,ENRICHED
AusSat 1,8/27/1985,1985,1980s,Other_Countries,Australia,DFAT,Space Shuttle,Space,Kennedy Space Center,,Communication,GEO,1273,Success,Decommissioned,175,Solid,15,Australia's first domestic communications satellite; provided national coverage,,,ENRICHED
Ofek 1,9/19/1988,1988,1980s,Other_Countries,Israel,ISA,Shavit,Shavit,Palmachim AFB,,Technology/Test,LEO,155,Success,Decommissioned,100,Solid,0.0521,Israel's first satellite; unusual retrograde orbit over Mediterranean; tested Shavit rocket,,,ENRICHED
Ofek 2,4/3/1990,1990,1990s,Other_Countries,Israel,ISA,Shavit,Shavit,Palmachim AFB,,Technology/Test,LEO,160,Success,Decommissioned,60,Solid,3,Second Israeli satellite test; longer orbital life than Ofek-1,,,ENRICHED
Badr-1,7/16/1990,1990,1990s,Other_Countries,Pakistan,SUPARCO,Long March 2E,Long,Xichang,,Technology/Test,LEO,52,Success,Other,17.5,Liquid,3,Pakistan's first satellite; decayed after 7 months; technology validation,,,ENRICHED
Uribyol 1 (Kitsat-1),8/10/1992,1992,1990s,Other_Countries,South Korea,KARI,Ariane 4,Ariane,Kourou,,Technology/Test,LEO,50,Success,Decommissioned,17.5,Liquid,3,South Korea's first satellite; small student satellite; technology experiment,,,ENRICHED
SCD-1,2/9/1993,1993,1990s,Other_Countries,Brazil,AEB,Pegasus,Pegasus,Cape Canaveral,,Earth Observation,Other,115,Success,Decommissioned,60,Solid,8,Brazil's first domestically designed satellite; collects environmental data,,,ENRICHED
Ofek 3,4/5/1995,1995,1990s,Other_Countries,Israel,ISA,Shavit,Shavit,Palmachim AFB,,Military/Reconnaissance,LEO,225,Success,Decommissioned,60,Solid,7,First operational Israeli reconnaissance satellite; electro-optical imaging,,,ENRICHED
RADARSAT-1,11/4/1995,1995,1990s,Other_Countries,Canada,CSA,Delta II,Delta,Vandenberg AFB,,Earth Observation,SSO,2713,Success,Decommissioned,615,Solid,17,SAR Earth observation satellite; used in sea ice mapping and disaster monitoring,,,ENRICHED
MEASAT-1,1/12/1996,1996,1990s,Other_Countries,Malaysia,ANGKASA,Ariane 4,Ariane,Kourou,,Communication,GEO,2617,Success,Decommissioned,325,Liquid,15,Malaysia's first satellite; geostationary communications for Southeast Asia,,,ENRICHED
SAC-B,11/4/1996,1996,1990s,Other_Countries,Argentina,CONAE,Pegasus XL,Pegasus,Wallops Island,,Other,LEO,191,Success,Other,60,Solid,7,Argentina's first satellite for high energy astrophysics; NASA collaboration; power issue,,,ENRICHED
SCD-2,10/22/1998,1998,1990s,Other_Countries,Brazil,AEB,Pegasus XL,Pegasus,Cape Canaveral,,Earth Observation,Other,115,Success,Decommissioned,60,Solid,8,Second Brazilian environmental data collection satellite; still operational,,,ENRICHED
SUNSAT,2/23/1999,1999,1990s,Other_Countries,South Africa,SANSA,Taurus,Taurus,Vandenberg AFB,,Technology/Test,SSO,64,Success,Decommissioned,17.5,,3,South Africa's first satellite; built by Stellenbosch University students,,,ENRICHED
CBERS-1 (China-Brazil),10/14/1999,1999,1990s,Other_Countries,Brazil,AEB,Long March 4B,Long,Taiyuan,,Earth Observation,SSO,1450,Success,Decommissioned,,Liquid,4,Joint China-Brazil mission; first major Brazil space cooperation,,,ENRICHED
Ariang-1 (KOMPSAT-1),12/21/1999,1999,1990s,Other_Countries,South Korea,KARI,Taurus,Taurus,Vandenberg AFB,,Earth Observation,SSO,470,Success,Decommissioned,60,,8,First Korean operational Earth observation satellite; 6.6m panchromatic resolution,,,ENRICHED
SaudiSat-1A/1B,9/26/2000,2000,2000s,Other_Countries,Saudi Arabia,KACST,Dnepr,Dnepr,Baikonur,,Technology/Test,SSO,12,Success,Decommissioned,17.5,Liquid,3,Saudi Arabia's first satellites; university technology experiments,,,ENRICHED
SAC-C,11/21/2000,2000,2000s,Other_Countries,Argentina,CONAE,Delta II,Delta,Vandenberg AFB,,Earth Observation,SSO,485,Success,Decommissioned,60,Solid,8,Argentina's operational Earth obs satellite; magnetic field sensing and imaging,,,ENRICHED
FedSat,12/14/2002,2002,2000s,Other_Countries,Australia,GA/CSIRO,H-IIA,H-IIA,Tanegashima,,Other,LEO,58,Success,Decommissioned,17.5,Solid,7,Australia's first satellite in 30 years; tested GPS augmentation and magnetometer,,,ENRICHED
MOST,6/30/2003,2003,2000s,Other_Countries,Canada,CSA,Rokot,Rokot,Plesetsk,,Other,SSO,54,Success,Decommissioned,17.5,Liquid,7,"First Canadian astronomy satellite; measured stellar oscillations; Canada's ""humble telescope""",,,ENRICHED
Scisat (ACE),8/12/2003,2003,2000s,Other_Countries,Canada,CSA,Pegasus XL,Pegasus,Cape Canaveral,,Science/Astrophysics,Other,150,Success,Decommissioned,60,Solid,7,Measures 60+ trace gases in upper atmosphere; ozone layer monitoring,,,ENRICHED
Bilsat-1,9/27/2003,2003,2000s,Other_Countries,Turkey,TÜBİTAK,Rokot,Rokot,Plesetsk,,Earth Observation,SSO,130,Success,Decommissioned,60,Liquid,8,Turkey's first satellite; remote sensing; joint SSTL (UK) and Turkey development,,,ENRICHED
NigeriaSat-1,9/27/2003,2003,2000s,Other_Countries,Nigeria,NASRDA,Rokot,Rokot,Plesetsk,,Earth Observation,SSO,93,Success,Decommissioned,,Liquid,9,Nigeria's first satellite; 32m resolution; part of Disaster Monitoring Constellation,,,ENRICHED
Sina-1,10/28/2005,2005,2000s,Other_Countries,Iran,ISA,Cosmos-3M,Cosmos-3M,Plesetsk,,Earth Observation,LEO,160,Success,Other,60,,7,Iran's first satellite; remote sensing experiments; launched by Russia,,,ENRICHED
KazSat-1,6/18/2006,2006,2000s,Other_Countries,Kazakhstan,KazCosmos,Proton-K,Proton-K,Baikonur,,Communication,GEO,2130,Failure,Lost/Failed,325,Liquid,15,Kazakhstan's first satellite; propulsion failure led to decommissioning 2008,,,ENRICHED
BelKA,6/26/2006,2006,2000s,Other_Countries,Belarus,BKFC,Dnepr,Dnepr,Baikonur,,Earth Observation,SSO,720,Failure,Lost/Failed,175,Liquid,8,Belarusian Earth observation satellite; lost in launch vehicle explosion,,,ENRICHED
SaudiComsat 3-6,7/26/2006,2006,2000s,Other_Countries,Saudi Arabia,KACST,Dnepr,Dnepr,Baikonur,,Communication,LEO,4,Success,Decommissioned,17.5,Liquid,15,Four small Saudi communication technology satellites,,,ENRICHED
KOMPSAT-2,7/28/2006,2006,2000s,Other_Countries,South Korea,KARI,Rokot,Rokot,Plesetsk,,Earth Observation,SSO,800,Success,Decommissioned,175,Liquid,8,1m resolution panchromatic imagery; detailed mapping capability,,,ENRICHED
Optus-D1,10/11/2006,2006,2000s,Other_Countries,Australia,Optus,Ariane 5,Ariane,Kourou,,Communication,GEO,2083,Success,Decommissioned,325,Solid,15,Replacement Australian domestic comms satellite,,,ENRICHED
EgyptSat-1,4/28/2007,2007,2000s,Other_Countries,Egypt,NARSS,Dnepr,Dnepr,Baikonur,,Earth Observation,SSO,160,Success,Other,60,Liquid,8,Egypt's first satellite; remote sensing; joint Egypt-Russia development,,,ENRICHED
NigComSat-1,5/13/2007,2007,2000s,Other_Countries,Nigeria,NASRDA,Long March 3B,Long,Xichang,,Communication,GEO,5150,Failure,Lost/Failed,950,Liquid,15,Nigeria's first comms satellite; anomaly in orbit; decommissioned 2008,,,ENRICHED
RADARSAT-2,12/14/2007,2007,2000s,Other_Countries,Canada,CSA,Soyuz-FG,Soyuz-FG,Baikonur,,Earth Observation,SSO,2200,Success,Active,603,Liquid,17,Ultra-fine 3m SAR imaging; military and commercial applications,,,ENRICHED
TechSAR (Ofek-8),1/21/2008,2008,2000s,Other_Countries,Israel,ISA,PSLV-C10 (India),PSLV-C10,Satish Dhawan,,Earth Observation,LEO,300,Success,Decommissioned,60,Solid,8,First Israeli SAR satellite; all-weather reconnaissance capability; launched by India,,,ENRICHED
THEOS-1,10/1/2008,2008,2000s,Other_Countries,Thailand,GISTDA,Dnepr,Dnepr,Dombarovsky,,Earth Observation,SSO,750,Success,Active,,Liquid,15,Thailand's first Earth observation satellite; 2m resolution imagery; agriculture monitoring,,,ENRICHED
Venesat-1 (Simon Bolivar),10/29/2008,2008,2000s,Other_Countries,Venezuela,ABV,Long March 3B,Long,Xichang,,Communication,GEO,5100,Success,Decommissioned,950,Liquid,15,Venezuela's first satellite; named after liberator; communications for Latin America,,,ENRICHED
Omid,2/2/2009,2009,2000s,Other_Countries,Iran,ISA,Safir-1B,Safir-1B,Semnan,,Technology/Test,LEO,27,Success,Decommissioned,15,Liquid,0.1233,First Iranian domestic satellite; first successful Iranian orbit; 45-day life,,,ENRICHED
RazakSAT,7/14/2009,2009,2000s,Other_Countries,Malaysia,ANGKASA,Falcon 1,Falcon,Omelek Island,,Earth Observation,Other,180,Success,Decommissioned,60,Liquid,8,Malaysia's first Earth observation satellite; near-equatorial orbit for tropical coverage,,,ENRICHED
DubaiSat-1,7/29/2009,2009,2000s,Other_Countries,UAE,UAESA,Dnepr,Dnepr,Dombarovsky,,Earth Observation,SSO,200,Success,Decommissioned,60,Liquid,8,UAE's first satellite; 2.5m resolution optical imagery; designed with Korean partners,,,ENRICHED
SES-1 (Astra 14A),4/24/2010,2010,2010s,Other_Countries,Luxembourg,SES,Proton-M,Proton-M,Baikonur,,Communication,GEO,4706,Success,Decommissioned,950,Liquid,15,SES Luxembourg geostationary communications satellite for Europe/Americas,,,ENRICHED
Ofek-9,6/22/2010,2010,2010s,Other_Countries,Israel,ISA,Shavit,Shavit,Palmachim AFB,,Military/Reconnaissance,LEO,300,Success,Decommissioned,60,Solid,7,High-resolution electro-optical satellite; replaced aging Ofek-7,,,ENRICHED
SAC-D/Aquarius,6/10/2011,2011,2010s,Other_Countries,Argentina,CONAE,Delta II,Delta,Vandenberg AFB,,Earth Observation,SSO,1327,Success,Decommissioned,175,Solid,8,Joint NASA-CONAE; measured global ocean salinity; operated 4 years,,,ENRICHED
PakSat-1R,8/11/2011,2011,2010s,Other_Countries,Pakistan,SUPARCO,CZ-3B,CZ-3B,Xichang,,Communication,GEO,5162,Success,Decommissioned,950,Liquid,15,Pakistan's geostationary communication satellite; replaced PakSat-1,,,ENRICHED
NigComSat-1R,12/19/2011,2011,2010s,Other_Countries,Nigeria,NASRDA,Long March 3B,Long,Xichang,,Communication,GEO,5148,Success,Active,,Liquid,10,Replacement Nigerian communications satellite; operational geostationary service,,,ENRICHED
KOMPSAT-3,5/17/2012,2012,2010s,Other_Countries,South Korea,KARI,H-IIA,H-IIA,Tanegashima,,Earth Observation,SSO,980,Success,Active,,Liquid,12,0.7m resolution; one of sharpest non-military EO satellites at launch,,,ENRICHED
BKA (ResourceSat Belarus),7/22/2012,2012,2010s,Other_Countries,Belarus,BKFC,Soyuz-FG,Soyuz-FG,Baikonur,,Earth Observation,SSO,465,Success,Decommissioned,60,Liquid,8,Belarus high-resolution Earth observation satellite; 2.1m resolution,,,ENRICHED
Kwangmyongsong 3-2,12/12/2012,2012,2010s,Other_Countries,North Korea,NADA,Unha-3,Unha-3,Sohae,,Military/Reconnaissance,LEO,100,Success,Active,100,Liquid,,North Korea's first operational satellite; contested as ballistic missile test,,,ENRICHED
Gökturk-2,12/18/2012,2012,2010s,Other_Countries,Turkey,TÜBİTAK,Long March 2D,Long,Jiuquan,,Earth Observation,SSO,409,Success,Decommissioned,60,Liquid,8,Turkey's high-resolution (2.5m) Earth observation satellite; domestic development,,,ENRICHED
NEE-01 Pegaso,4/26/2013,2013,2010s,Other_Countries,Ecuador,EXA,Dnepr,Dnepr,Baikonur,,Technology/Test,LEO,1.2,Success,Other,17.5,Liquid,3,Ecuador's first satellite; first Latin American CubeSat; camera deployed,,,ENRICHED
VNREDSat-1,5/7/2013,2013,2010s,Other_Countries,Vietnam,VNSC,Vega,Vega,Kourou,,Earth Observation,SSO,115,Success,Decommissioned,,Solid,5,Vietnam's first satellite; 2.5m optical resolution; environmental monitoring,,,ENRICHED
KOMPSAT-5,8/22/2013,2013,2010s,Other_Countries,South Korea,KARI,Dnepr,Dnepr,Dombarovsky,,Earth Observation,SSO,1400,Success,Decommissioned,175,Liquid,8,First Korean SAR satellite; 1m radar imaging; all-weather capability,,,ENRICHED
Cascade (CASSIOPE),9/29/2013,2013,2010s,Other_Countries,Canada,CSA,Falcon 9,Falcon,Vandenberg AFB,,Science/Astrophysics,HEO/Elliptical,490,Success,Decommissioned,60,Liquid,7,Multi-experiment satellite for ionospheric plasma irregularities,,,ENRICHED
DubaiSat-2,11/21/2013,2013,2010s,Other_Countries,UAE,MBRSC,Dnepr,Dnepr,Dombarovsky,,Earth Observation,SSO,310,Success,Decommissioned,60,Liquid,8,1m resolution; first UAE-manufactured satellite; UAE fully built,,,ENRICHED
TKSat-1 (Tupac Katari),12/20/2013,2013,2010s,Other_Countries,Bolivia,ABE,Long March 3B,Long,Xichang,,Communication,GEO,2910,Success,Decommissioned,325,Liquid,15,Bolivia's first satellite; named after indigenous leader; broadband coverage,,,ENRICHED
EgyptSat-2,4/16/2014,2014,2010s,Other_Countries,Egypt,NARSS,Soyuz-FG,Soyuz-FG,Baikonur,,Earth Observation,SSO,1000,Success,Decommissioned,175,Liquid,8,Egyptian Earth observation satellite; 1m resolution; agriculture and monitoring,,,ENRICHED
KazSat-3,4/28/2014,2014,2010s,Other_Countries,Kazakhstan,KazCosmos,Proton-M,Proton-M,Baikonur,,Communication,GEO,2050,Success,Decommissioned,325,Liquid,15,Kazakhstan's operational geostationary communications satellite,,,ENRICHED
ARSAT-1,10/16/2014,2014,2010s,Other_Countries,Argentina,CONAE,Ariane 5,Ariane,Kourou,,Communication,GEO,2953,Success,Active,,Liquid,10,Argentina's first domestically built geostationary satellite; national comms,,,ENRICHED
CBERS-4,12/7/2014,2014,2010s,Other_Countries,Brazil,AEB,Long March 4B,Long,Taiyuan,,Earth Observation,SSO,1980,Success,Decommissioned,175,Liquid,8,Advanced Earth observation with 5m resolution; operational to 2024,,,ENRICHED
Lapan-A2,9/28/2015,2015,2010s,Other_Countries,Indonesia,LAPAN,PSLV-C30 (India),PSLV-C30,Satish Dhawan,,Technology/Test,Other,76,Success,Decommissioned,17.5,Solid,3,Indonesia's AIS ship tracking and amateur radio satellite; equatorial orbit,,,ENRICHED
ARSAT-2,9/30/2015,2015,2010s,Other_Countries,Argentina,CONAE,Ariane 5,Ariane,Kourou,,Communication,GEO,2970,Success,Decommissioned,325,Solid,15,Second Argentine geostationary; expanded national broadband and TV coverage,,,ENRICHED
Kwangmyongsong 4,2/7/2016,2016,2010s,Other_Countries,North Korea,NADA,Kwangmyongsong,Kwangmyongsong,Sohae,,Military/Reconnaissance,LEO,200,Success,Decommissioned,60,,7,Second DPRK satellite; international condemnation; suspected tumbling,,,ENRICHED
Ofek-11,9/13/2016,2016,2010s,Other_Countries,Israel,ISA,Shavit,Shavit,Palmachim AFB,,Military/Reconnaissance,LEO,400,Success,Other,60,Solid,7,Some initial anomalies; eventually stabilized and operational; advanced imaging,,,ENRICHED
PERUSAT-1,9/16/2016,2016,2010s,Other_Countries,Peru,CONIDA,Vega,Vega,Kourou,,Earth Observation,SSO,475,Success,Decommissioned,60,Solid,8,Peru's first Earth observation satellite; 0.7m resolution for national use,,,ENRICHED
Gökturk-1,12/5/2016,2016,2010s,Other_Countries,Turkey,TÜBİTAK,Vega,Vega,Kourou,,Earth Observation,SSO,1057,Success,Decommissioned,175,Solid,8,Turkey's best resolution (0.5m) EO satellite; defense intelligence,,,ENRICHED
Telkom 3S,2/14/2017,2017,2010s,Other_Countries,Indonesia,Telkom,Ariane 5,Ariane,Kourou,,Communication,GEO,3737,Success,Decommissioned,325,Solid,15,Indonesian telecommunications satellite; DTH and broadband services,,,ENRICHED
CubeSat (1KUNS-PF),5/22/2017,2017,2010s,Other_Countries,Kenya,ARCSI,Cygnus/ISS,Cygnus/ISS,ISS Deployment,,Technology/Test,LEO,1.3,Success,Decommissioned,17.5,,3,Kenya's first satellite; deployed from ISS; technology student experiment,,,ENRICHED
GhanaSat-1,7/7/2017,2017,2010s,Other_Countries,Ghana,GAEC,Cygnus/ISS,Cygnus/ISS,ISS Deployment,,Technology/Test,LEO,0.87,Success,Decommissioned,0.5,Liquid,2,Ghana's first satellite; student-built CubeSat; deployed from ISS,,,ENRICHED
Bangabandhu-1,5/11/2018,2018,2010s,Other_Countries,Bangladesh,BSC,Falcon 9,Falcon,Cape Canaveral,,Communication,GEO,3700,Success,Active,,Liquid,7,Bangladesh's first and only satellite; 40 Ku-band transponders; national comms,,,ENRICHED
PRSS-1,7/9/2018,2018,2010s,Other_Countries,Pakistan,SUPARCO,Long March 2C,Long,Jiuquan,,Earth Observation,SSO,1100,Success,Decommissioned,175,Liquid,8,Pakistan Remote Sensing Satellite; 1m resolution; Pakistan's first remote sensing satellite,,,ENRICHED
KhalifaSat,10/29/2018,2018,2010s,Other_Countries,UAE,MBRSC,H-IIA,H-IIA,Tanegashima,,Earth Observation,SSO,314,Success,Active,,Liquid,5,First fully UAE-designed and built satellite; 70cm resolution; launched on Japanese rocket,,,ENRICHED
Beresheet,2/22/2019,2019,2010s,Other_Countries,Israel,ISA,Falcon 9,Falcon,Cape Canaveral,,Lunar Exploration,Lunar,585,Failure,Lost/Failed,,Liquid,0.167,First private Moon landing attempt; crashed at 500 km/h; IMU problem; took photos till impact,,,ENRICHED
Arabsat-6A,4/11/2019,2019,2010s,Other_Countries,Saudi Arabia,KACST,Falcon Heavy,Falcon,Cape Canaveral,,Communication,GEO,6460,Success,Decommissioned,950,Liquid,15,Saudi Arabia's high-capacity communications satellite; Arabsat series; first Falcon Heavy commercial,,,ENRICHED
RCM (RADARSAT Constellation Mission),6/12/2019,2019,2010s,Other_Countries,Canada,CSA,Falcon 9,Falcon,Vandenberg AFB,,Earth Observation,SSO,1430,Success,Active,,Liquid,7,3 SAR satellites; daily monitoring of Canada's vast territory; ship tracking,,,ENRICHED
RWASAT-1,11/1/2019,2019,2010s,Other_Countries,Rwanda,RISA,Various,Various,Various,,Technology/Test,LEO,1.3,Success,Decommissioned,17.5,,3,Rwanda's first CubeSat; capacity building for space technology,,,ENRICHED
ETRSS-1,12/20/2019,2019,2010s,Other_Countries,Ethiopia,ESSTI,Long March 4B,Long,Taiyuan,,Earth Observation,SSO,65,Success,Active,8,Liquid,5,Ethiopia's first satellite; remote sensing for natural resource management,,,ENRICHED
Noor-1,4/22/2020,2020,2020s,Other_Countries,Iran,IRGC,Qased,Qased,Shahroud,,Military/Reconnaissance,LEO,75,Success,Active,30,Solid,4,First successful Iranian military satellite; placed in LEO by new Qased rocket,,,ENRICHED
Hope (Al-Amal) Mars Mission,7/19/2020,2020,2020s,Other_Countries,UAE,MBRSC,H-IIA (Japan),H-IIA,Tanegashima,,Planetary Science,Mars/Interplanetary,1350,Success,Active,,Liquid,4,Arab world's first interplanetary mission; studies Mars weather and atmosphere,,,ENRICHED
Hope Mars Mission,7/19/2020,2020,2020s,Other_Countries,ARE,UAE Space Agency,H-IIA,H-IIA,Tanegashima,Tanegashima,Planetary Science,Mars/Interplanetary,,Success,,,,,UAE first interplanetary mission,ARE-2020,International Space Agencies Database,CLEANED_COMPLETE
ANASIS-2,7/20/2020,2020,2020s,Other_Countries,South Korea,KARI,Falcon 9,Falcon,Cape Canaveral,,Military/Reconnaissance,GEO,3500,Success,Active,325,Liquid,15,South Korea's first dedicated military communications satellite,,,ENRICHED
Türksat 5A,1/8/2021,2021,2020s,Other_Countries,Turkey,TÜRKSAT,Falcon 9,Falcon,Cape Canaveral,,Communication,GEO,3500,Success,Active,325,Liquid,15,High-throughput communications satellite; Ku and Ka-band coverage over Turkey/Europe,,,ENRICHED
Amazonia-1,2/28/2021,2021,2020s,Other_Countries,Brazil,AEB,PSLV-C51 (India),PSLV-C51,Satish Dhawan,,Earth Observation,SSO,637,Success,Active,,Solid,4,Brazil's first independent EO satellite; monitors Amazon deforestation,,,ENRICHED
KazEOSat-1,8/26/2021,2021,2020s,Other_Countries,Kazakhstan,KazSTSAT,Vega,Vega,Kourou,,Earth Observation,SSO,550,Success,Active,175,Solid,8,Kazakhstan 1m resolution optical satellite; national mapping and monitoring,,,ENRICHED
NEXSAT-1,1/1/2022,2022,2020s,Other_Countries,Egypt,EgSA,Long March 2C,Long,Jiuquan,,Earth Observation,SSO,100,Success,Active,17.5,Liquid,8,New Egyptian remote sensing microsatellite; part of growing space program,,,ENRICHED
Kowsar,1/1/2022,2022,2020s,Other_Countries,Iran,ISA,Qased,Qased,Semnan,,Earth Observation,LEO,180,Success,Active,60,Liquid,8,Iranian civil Earth observation satellite; remote sensing technology,,,ENRICHED
LUXEOSys-1,1/1/2022,2022,2020s,Other_Countries,Luxembourg,LUX,Falcon 9,Falcon,Cape Canaveral,,Earth Observation,SSO,,Success,Active,17.5,Liquid,8,Luxembourg government-backed commercial EO satellite program,,,ENRICHED
Noor-2,3/8/2022,2022,2020s,Other_Countries,Iran,IRGC,Qased,Qased,Shahroud,,Military/Reconnaissance,LEO,100,Success,Active,17.5,Liquid,7,Second Iranian military satellite; higher orbit (500km) than Noor-1,,,ENRICHED
NURI (KSLV-II) First Success,6/21/2022,2022,2020s,Other_Countries,South Korea,KASA,NURI/KSLV-II,NURI/KSLV-II,Naro Space Center,,Technology/Test,SSO,1500,Success,Decommissioned,,Liquid,,First successful launch of Korean domestically developed rocket; achieved orbit,,,ENRICHED
Nuri (KSLV-II) Test Launch,6/21/2022,2022,2020s,Other_Countries,KOR,KARI,Nuri,Nuri,Naro Space Center,Naro Space Center,Technology/Test,LEO,,Success,,,,,South Korea first successful orbital launch,KOR-2022,International Space Agencies Database,CLEANED_COMPLETE
ZimSat-1,11/26/2022,2022,2020s,Other_Countries,Zimbabwe,ZESA,Falcon 9 (Transporter),Falcon,Cape Canaveral,,Technology/Test,SSO,1.3,Success,Active,17.5,Liquid,3,Zimbabwe's first satellite; CubeSat; agricultural monitoring,,,ENRICHED
KPS-1 (NaviKorea),12/18/2022,2022,2020s,Other_Countries,South Korea,KARI/KASA,Falcon 9,Falcon,Cape Canaveral,,Navigation,GEO,500,Success,Active,60,Liquid,12,First satellite in Korea's domestic positioning system; 1m accuracy,,,ENRICHED
EOS-SkyMed NExt,1/1/2023,2023,2020s,Other_Countries,UAE,MBRSC,Ariane 6,Ariane,Kourou,,Earth Observation,SSO,200,Success,Active,60,Solid,8,UAE continues its Earth observation satellite program,,,ENRICHED
Noor-3,9/27/2023,2023,2020s,Other_Countries,Iran,IRGC,Qased,Qased,Shahroud,,Military/Reconnaissance,LEO,150,Success,Active,60,Liquid,7,Third Noor satellite; improved imaging capabilities claimed,,,ENRICHED
EROS-C3,11/1/2023,2023,2020s,Other_Countries,Israel,ISA,Falcon 9,Falcon,Cape Canaveral,,Earth Observation,SSO,400,Success,Active,60,Liquid,8,Very high resolution commercial satellite; 35cm sub-meter imaging for commercial/defense,,,ENRICHED
Malligyong-1,11/21/2023,2023,2020s,Other_Countries,North Korea,NADA,Chollima-1,Chollima-1,Sohae,,Military/Reconnaissance,LEO,300,Success,Active,300,Liquid,,First North Korean military spy satellite; Kim Jong-un observed launch,,,ENRICHED
KSLV-II / NURI 3rd,12/4/2023,2023,2020s,Other_Countries,South Korea,KASA,NURI,NURI,Naro Space Center,,Technology/Test,SSO,500,Success,Active,60,Liquid,3,3rd NURI flight; placed university satellites into orbit; confirmed reliability,,,ENRICHED
KOMPSAT-6 (ARIRANG-6),1/1/2024,2024,2020s,Other_Countries,South Korea,KASA,NURI,NURI,Naro Space Center,,Earth Observation,SSO,2000,Success,Active,175,Liquid,8,Advanced Korean SAR satellite; higher resolution than KOMPSAT-5,,,ENRICHED
Malligyong-1B,11/5/2024,2024,2020s,Other_Countries,North Korea,NADA,Chollima-1,Chollima-1,Sohae,,Military/Reconnaissance,LEO,,Success,Active,17.5,Liquid,7,Second North Korean military spy satellite; with Russian assistance alleged,,,ENRICHED
Sputnik 1,10/4/1957,1957,1950s,Russia_USSR,Russia/USSR,OKB-1 (USSR),R-7,R-7,Baikonur Cosmodrome,,Technology/Test,LEO,83.6,Success,Decommissioned,10,Liquid,0.08,World's first artificial satellite; ushered in the Space Age,,,ENRICHED
Sputnik 8K74PS | Sputnik 1,10/4/1957,1957,1950s,Russia_USSR,RUS,Soviet Space Program,Sputnik 8K74PS,Sputnik,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Technology/Test,LEO,,Success,,,,,First artificial satellite consisting of a 58 cm pressurized aluminium shell containing two 1 W transmitters for a total mass of 83.6 kg.,e3df2ecd-c239-472f-95e4-2b89b4f75800,Launch Library 2,CLEANED_COMPLETE
Sputnik 2,11/3/1957,1957,1950s,Russia_USSR,Russia/USSR,OKB-1 (USSR),R-7,R-7,Baikonur Cosmodrome,,Other,LEO,508.3,Success,Decommissioned,10,Liquid,0.17,Carried Laika the dog; first animal in orbit,,,ENRICHED
Sputnik 8K74PS | Sputnik 2,11/3/1957,1957,1950s,Russia_USSR,RUS,Soviet Space Program,Sputnik 8K74PS,Sputnik,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Technology/Test,LEO,,Success,,,,,Second artificial satellite and first to carry an animal into orbit.,f8c9f344-a6df-4f30-873a-90fe3a7840b3,Launch Library 2,CLEANED_COMPLETE
Sputnik 8A91 | D-1 1,4/27/1958,1958,1950s,Russia_USSR,RUS,Soviet Space Program,Sputnik 8A91,Sputnik,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Earth Observation,LEO,,Failure,,,,,First complex scientific satellite with 12 experiments and a total mass of1327 kg. It failed to reach orbit due to a launch vehicle failure.,59d2de37-4c22-495f-8718-4b22f5f34ab7,Launch Library 2,CLEANED_COMPLETE
Sputnik 3,5/15/1958,1958,1950s,Russia_USSR,Russia/USSR,OKB-1 (USSR),R-7,R-7,Baikonur Cosmodrome,,Other,LEO,1327,Success,Decommissioned,12,Liquid,0.5,Geophysics satellite; many scientific instruments,,,ENRICHED
Sputnik 8A91 | D1- 2,5/15/1958,1958,1950s,Russia_USSR,RUS,Soviet Space Program,Sputnik 8A91,Sputnik,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Earth Observation,LEO,,Success,,,,,First complex scientific satellite to reach orbit.,6a7f56f9-2565-4b6c-b0c5-23e9c74a2368,Launch Library 2,CLEANED_COMPLETE
Vostok-L 8K72 | Luna-1a,9/23/1958,1958,1950s,Russia_USSR,RUS,Soviet Space Program,Vostok-L 8K72,Vostok,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Lunar Exploration,Lunar,,Failure,,,,,"Luna E-1 number 1 was a Soviet spacecraft intended to impact the moon, however, was lost in a launch failure.",b6141255-54e9-4edc-839d-1dc81b61f19f,Launch Library 2,CLEANED_COMPLETE
Vostok-L 8K72 | Luna-1b,10/11/1958,1958,1950s,Russia_USSR,RUS,Soviet Space Program,Vostok-L 8K72,Vostok,"Baikonur Cosmodrome, Republic of Kazakhstan",5-Jan,Lunar Exploration,Lunar,,Failure,,,,,"Luna E-1 number 2 was a Soviet spacecraft intended to impact the moon, however, was lost in a launch failure.",b9dfc9fc-7c79-4c85-833e-037b3ee311aa,Launch Library 2,CLEANED_COMPLETE
